imageId,split,age,gender,ethnicity,emotion,image_path,load_error,lap_var,tenengrad,face_found,face_area_ratio,roi_lap_var,roi_tenengrad,jpeg_blockiness,artifact_score,niqe,brisque,black_bar_score,black_bar_area_ratio,black_bar_span_ratio,black_bar_solid,black_bar_count,drop_reasons,keep,badness_score,drop_reasons_str
3,train,50,female,caucasian,happy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000003.jpg,False,516.8275146484375,48.88883972167969,True,0.5094649233354337,387.1051635742188,50.33134841918945,-0.0659680366516113,-0.0013493475336664,5.432306975881472,31.85009765625,0.0,0.0,0.0,False,0,[],True,0.5237680248877719,
7,train,43,male,caucasian,other,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000007.jpg,False,905.8197021484376,53.96265411376953,True,0.0684491617090319,234.44595336914065,68.71549987792969,0.622187614440918,0.0115299666617433,4.011068248439187,28.197998046875,0.0,0.0,0.0,False,0,[],True,0.4815115065411468,
8,train,26,male,asian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000008.jpg,False,410.4451904296875,54.146297454833984,True,0.2811960132890365,215.2774200439453,56.62008666992188,-0.198458194732666,-0.0036652218230246,4.65938189419891,17.03448486328125,0.0,0.0,0.0,False,0,[],True,0.3803491989501737,
9,train,39,female,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000009.jpg,False,306.3296813964844,33.18182373046875,True,0.2232645979312646,179.42263793945312,41.78300476074219,-0.126260757446289,-0.0038051179665942,4.771818371135373,13.7471923828125,0.0,0.0,0.0,False,0,[],True,0.40531803856793974,
10,train,17,male,caucasian,other,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000010.jpg,False,847.266845703125,57.01121520996094,True,0.1838265625,930.7726440429688,74.58273315429688,0.7722029685974121,0.013544755224192,2.9650016780359643,5.6376953125,0.0,0.0,0.0,False,0,[],True,0.2442771297994589,
11,train,51,male,asian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000011.jpg,False,2557.9677734375,98.29064178466795,True,0.2044690450032552,2039.15869140625,82.06859588623047,-0.0534791946411132,-0.0005440924296148,2.3251295402652223,7.6182861328125,0.0,0.0,0.0,False,0,[],True,0.13702461416860046,
13,train,1,female,caucasian,other,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000013.jpg,False,783.6422729492188,51.17243576049805,True,0.1320989461358313,370.1933288574219,49.25481414794922,0.0700960159301757,0.0013698002355886,3.67422446908688,9.02056884765625,0.0,0.0,0.0,False,0,[],True,0.2979439214454364,
14,train,6,female,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000014.jpg,False,601.53125,51.93707275390625,True,0.0402489778037383,155.0281219482422,49.870262145996094,-0.0367074012756347,-0.000706766835759,2.8485838857859083,9.64593505859375,0.0,0.0,0.0,False,0,[],True,0.2455640789193681,
15,train,18,female,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000015.jpg,False,647.171142578125,67.46060180664062,True,0.276464089731903,297.6408386230469,46.82600402832031,0.1866192817687988,0.0027663447109077,3.5670479860572986,15.982666015625,0.0,0.0,0.0,False,0,[],True,0.3619367064235988,
16,train,24,male,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000016.jpg,False,634.57470703125,54.417579650878906,True,0.01576875,539.4625854492188,61.302730560302734,0.339944839477539,0.0062469671641318,4.28712712260997,9.0565185546875,0.0,0.0,0.0,False,0,[],True,0.3615617684910269,
